grid_size,impl,num_threads,iteration,result
512,pth,2,28,0.092381
512,pth,2,29,0.091336
512,pth,2,30,0.091554
512,pth,8,1,0.050059
512,pth,8,2,0.050698
512,pth,8,3,0.050564
512,pth,8,4,0.049355
512,pth,8,5,0.049119
512,pth,8,6,0.049215
512,pth,8,7,0.049422
512,pth,8,8,0.049589
512,pth,8,9,0.049478
512,pth,8,10,0.049374
512,pth,8,11,0.049295
512,pth,8,12,0.049341
512,pth,8,13,0.049269
512,pth,8,14,0.049853
512,pth,8,15,0.049308
512,pth,8,16,0.049244
512,pth,8,17,0.049043
512,pth,8,18,0.049419
512,pth,8,19,0.049284
512,pth,8,20,0.049307
512,pth,8,21,0.049434
512,pth,8,22,0.049001
512,pth,8,23,0.048999
512,pth,8,24,0.049027
512,pth,8,25,0.049325
512,pth,8,26,0.049446
512,pth,8,27,0.049768
512,pth,8,28,0.049891
512,pth,8,29,0.050389
512,pth,8,30,0.050419
512,pth,32,1,0.047884
512,pth,32,2,0.048083
512,pth,32,3,0.047676
512,pth,32,4,0.048181
512,pth,32,5,0.046085
512,pth,32,6,0.045822
512,pth,32,7,0.046340
512,pth,32,8,0.044823
512,pth,32,9,0.044652
512,pth,32,10,0.044528
512,pth,32,11,0.044860
512,pth,32,12,0.044463
512,pth,32,13,0.043907
512,pth,32,14,0.044643
512,pth,32,15,0.045867
512,pth,32,16,0.045288
512,pth,32,17,0.046566
512,pth,32,18,0.047060
512,pth,32,19,0.046971
512,pth,32,20,0.046610
512,pth,32,21,0.046297
512,pth,32,22,0.048394
512,pth,32,23,0.046222
512,pth,32,24,0.046705
512,pth,32,25,0.044896
512,pth,32,26,0.043328
512,pth,32,27,0.044881
512,pth,32,28,0.044016
512,pth,32,29,0.044589
512,pth,32,30,0.045528
512,omp,2,1,0.101817
512,omp,2,2,0.095383
512,omp,2,3,0.090843
512,omp,2,4,0.087208
512,omp,2,5,0.085995
512,omp,2,6,0.086090
512,omp,2,7,0.087722
512,omp,2,8,0.092045
512,omp,2,9,0.099597
512,omp,2,10,0.089549
512,omp,2,11,0.096459
512,omp,2,12,0.087758
512,omp,2,13,0.088571
512,omp,2,14,0.085905
512,omp,2,15,0.088355
512,omp,2,16,0.096584
512,omp,2,17,0.092416
512,omp,2,18,0.089272
512,omp,2,19,0.088580
512,omp,2,20,0.091135
512,omp,2,21,0.095190
512,omp,2,22,0.086196
512,omp,2,23,0.087952
512,omp,2,24,0.086606
512,omp,2,25,0.085524
512,omp,2,26,0.087190
512,omp,2,27,0.085739
512,omp,2,28,0.086741
